date,production_units,emission_intensity_tco2e_per_unit,production_tco2e,data_quality_score,source_tag
2024-11-09,785,0.4539,356.292,0.9232853035638127,synthetic_production_v1
2024-11-10,760,0.4455,338.575,0.9494839729916777,synthetic_production_v1
2024-11-11,986,0.4702,463.579,0.9781883016189313,synthetic_production_v1
2024-11-12,998,0.45,449.119,0.9686497577078139,synthetic_production_v1
2024-11-13,840,0.4722,396.684,0.9087036946955022,synthetic_production_v1
2024-11-14,878,0.4541,398.693,0.9333981007502034,synthetic_production_v1
2024-11-15,960,0.4462,428.313,0.9167349111327622,synthetic_production_v1
2024-11-16,768,0.4533,348.168,0.9333121869521185,synthetic_production_v1
2024-11-17,784,0.4267,334.572,0.9801102499008838,synthetic_production_v1
2024-11-18,911,0.4566,415.936,0.9044349837804245,synthetic_production_v1
2024-11-19,1010,0.4558,460.316,0.8995283676679952,synthetic_production_v1
2024-11-20,1007,0.4675,470.749,0.9192861461641599,synthetic_production_v1
2024-11-21,969,0.4347,421.248,0.9471827650643998,synthetic_production_v1
2024-11-22,1031,0.4711,485.686,0.9555188705160189,synthetic_production_v1
2024-11-23,816,0.4668,380.882,0.9509362108715382,synthetic_production_v1
2024-11-24,760,0.4717,358.511,0.9693921350807754,synthetic_production_v1
2024-11-25,994,0.4558,453.112,0.8959228601441517,synthetic_production_v1
2024-11-26,921,0.4684,431.421,0.9697084134589734,synthetic_production_v1
2024-11-27,1027,0.4384,450.221,0.9321976169988426,synthetic_production_v1
2024-11-28,976,0.4644,453.232,0.9582873577451216,synthetic_production_v1
2024-11-29,971,0.4463,433.402,0.9069143643309199,synthetic_production_v1
2024-11-30,774,0.4356,337.126,0.9401239174252267,synthetic_production_v1
2024-12-01,866,0.4417,382.486,0.9459067692647253,synthetic_production_v1
2024-12-02,978,0.455,444.996,0.9688937759374604,synthetic_production_v1
2024-12-03,964,0.4448,428.815,0.9003686344348059,synthetic_production_v1
2024-12-04,971,0.459,445.702,0.9407688137133725,synthetic_production_v1
2024-12-05,1024,0.4326,442.963,0.9128691177214464,synthetic_production_v1
2024-12-06,1016,0.4285,435.391,0.9526374011052068,synthetic_production_v1
2024-12-07,837,0.4703,393.648,0.9594304134114031,synthetic_production_v1
2024-12-08,839,0.4645,389.687,0.9721792560627022,synthetic_production_v1
2024-12-09,1126,0.4408,496.35,0.9266242636422906,synthetic_production_v1
2024-12-10,978,0.4531,443.175,0.9631806621422198,synthetic_production_v1
2024-12-11,974,0.4652,453.099,0.9740225396869263,synthetic_production_v1
2024-12-12,958,0.4578,438.544,0.8989188257536133,synthetic_production_v1
2024-12-13,1044,0.4543,474.288,0.9553086230024612,synthetic_production_v1
2024-12-14,882,0.4654,410.52,0.9639627813445026,synthetic_production_v1
2024-12-15,823,0.4433,364.845,0.933531840340314,synthetic_production_v1
2024-12-16,963,0.4522,435.501,0.9097306605618722,synthetic_production_v1
2024-12-17,965,0.4514,435.626,0.9635738939027415,synthetic_production_v1
2024-12-18,1055,0.4481,472.795,0.910012279311056,synthetic_production_v1
2024-12-19,1062,0.4465,474.207,0.9355412141372274,synthetic_production_v1
2024-12-20,1052,0.4519,475.351,0.9389968985549167,synthetic_production_v1
2024-12-21,805,0.4512,363.194,0.9578884512925999,synthetic_production_v1
2024-12-22,850,0.438,372.265,0.9243342110121866,synthetic_production_v1
2024-12-23,1031,0.4599,474.2,0.9228854077793036,synthetic_production_v1
2024-12-24,1039,0.4384,455.48,0.9424728869690777,synthetic_production_v1
2024-12-25,1079,0.4473,482.595,0.9651597619404937,synthetic_production_v1
2024-12-26,1042,0.4461,464.854,0.99,synthetic_production_v1
2024-12-27,1071,0.4537,485.953,0.9023129700055306,synthetic_production_v1
2024-12-28,849,0.4238,359.798,0.9478835504446644,synthetic_production_v1
2024-12-29,861,0.4597,395.794,0.9128366243441427,synthetic_production_v1
2024-12-30,1072,0.4407,472.383,0.9654702810801685,synthetic_production_v1
2024-12-31,947,0.4632,438.65,0.9165363863172691,synthetic_production_v1
2025-01-01,1017,0.4426,450.126,0.9231337945454419,synthetic_production_v1
2025-01-02,1009,0.4475,451.562,0.9252682285234001,synthetic_production_v1
2025-01-03,1000,0.4709,470.865,0.9380950265320048,synthetic_production_v1
2025-01-04,839,0.4444,372.811,0.9480799399214677,synthetic_production_v1
2025-01-05,929,0.4623,429.501,0.9520925348402128,synthetic_production_v1
2025-01-06,990,0.4477,443.231,0.9398558113454304,synthetic_production_v1
2025-01-07,1103,0.452,498.562,0.9067527244389855,synthetic_production_v1
2025-01-08,942,0.4476,421.676,0.9581946537577547,synthetic_production_v1
2025-01-09,1026,0.4568,468.63,0.9386760334084242,synthetic_production_v1
2025-01-10,1057,0.4381,463.107,0.9690433697503674,synthetic_production_v1
2025-01-11,889,0.4343,386.121,0.9223065305130015,synthetic_production_v1
2025-01-12,896,0.4383,392.678,0.8999431318162251,synthetic_production_v1
2025-01-13,1099,0.4469,491.139,0.9391493499329231,synthetic_production_v1
2025-01-14,1029,0.4428,455.672,0.9723988172071065,synthetic_production_v1
2025-01-15,1023,0.4538,464.22,0.9440235534154012,synthetic_production_v1
2025-01-16,1105,0.4607,509.07,0.9350082550206785,synthetic_production_v1
2025-01-17,1042,0.4331,451.301,0.9182413245585641,synthetic_production_v1
2025-01-18,800,0.4358,348.634,0.9839441616670205,synthetic_production_v1
2025-01-19,808,0.4271,345.133,0.9142599351278805,synthetic_production_v1
2025-01-20,999,0.4685,468.056,0.9218651435592939,synthetic_production_v1
2025-01-21,1087,0.4476,486.537,0.9542508549021005,synthetic_production_v1
2025-01-22,1066,0.4495,479.143,0.8935994827528302,synthetic_production_v1
2025-01-23,1100,0.4274,470.159,0.9718647666345335,synthetic_production_v1
2025-01-24,1032,0.4433,457.45,0.9556048278554339,synthetic_production_v1
